experiment_name,plate,address,gene,treatment,SMILES,concentration,perturbation_type,cell_type,Compound,Compound_Category
compound-003,9,E37,,sb202190,"OC1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=NC=C1)C1=CC=C(F)C=C1 |c:3,5,10,16,18,26,t:1,8,14,21,23|",10.0,COMPOUND,HUVEC,SB-202190,p38 MAPK inhibitor
compound-003,10,D03,,celecoxib,"CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F |c:3,5,10,16,18,t:1,8,14|",10.0,COMPOUND,HUVEC,celecoxib,cyclooxygenase inhibitor
compound-004,10,AA32,,scio 469,"C[C@H]1CN([C@H](C)CN1CC1=CC=C(F)C=C1)C(=O)C1=C(Cl)C=C2N(C)C=C(C(=O)C(=O)N(C)C)C2=C1 |c:15,20,37,t:10,12,23,27|",2.5,COMPOUND,HUVEC,talmapimod,p38 MAPK inhibitor
compound-004,24,S37,,lapatinib,"CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC=C2N=CN=C(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)C2=C1 |c:10,18,31,34,38,42,t:8,14,16,20,23,25,29|",2.5,COMPOUND,HUVEC,lapatinib,EGFR inhibitor
compound-003,10,D29,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-004,33,V25,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-003,16,O04,,loxoprofen,"CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1 |c:17,t:5,7|",10.0,COMPOUND,HUVEC,loxoprofen,cyclooxygenase inhibitor|prostanoid receptor antagonist
compound-004,20,K35,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-001,30,Z16,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-001,19,V42,,mebendazole,"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1 |c:7,11,13,20,22,t:5,18|",2.5,COMPOUND,HUVEC,mebendazole,tubulin polymerization inhibitor
compound-003,23,G09,,clofibric acid,"CC(C)(OC1=CC=C(Cl)C=C1)C(O)=O |c:9,t:4,6|",10.0,COMPOUND,HUVEC,clofibric-acid,PPAR receptor agonist
compound-001,34,AB35,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,7,B02,,afatinib,"CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1 |a:12,r,c:9,20,31,35,t:18,22,25,28|",10.0,COMPOUND,HUVEC,afatinib,EGFR inhibitor
compound-003,40,S23,,griseofulvin,"COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@@]1(O2)[C@H](C)CC(=O)C=C1OC |a:13,15,r,c:9,22,t:2,6|",2.5,COMPOUND,HUVEC,griseofulvin,tubulin polymerization inhibitor
compound-002,15,AE30,,risperidone,"CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1 |c:1,15,18,21,32,t:12|",10.0,COMPOUND,HUVEC,risperidone,dopamine receptor antagonist|serotonin receptor antagonist
compound-003,33,H10,,prednisone,"C[C@]12CC(=O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO |a:1,15,20,r,c:13,t:9|",2.5,COMPOUND,HUVEC,prednisone,glucocorticoid receptor agonist
compound-003,24,AE33,,diflunisal (no structure),"OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1 |c:3,6,8,11,17,t:14|",2.5,COMPOUND,HUVEC,diflunisal,prostanoid receptor antagonist
compound-004,26,T14,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-001,48,H30,,valdecoxib,"CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O |c:3,9,11,16,18,t:1,7,14|",10.0,COMPOUND,HUVEC,valdecoxib,cyclooxygenase inhibitor
compound-003,19,AA39,,fenbufen (no structure),"OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1 |c:9,11,16,18,t:7,14|",10.0,COMPOUND,HUVEC,fenbufen,cyclooxygenase inhibitor
compound-003,17,AA22,,bezafibrate,"CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O |c:18,21,t:4,6,13,15|",2.5,COMPOUND,HUVEC,bezafibrate,PPAR receptor agonist
compound-003,17,U30,,pazufloxacin mesylate,"C[C@H]1COC2=C(C(F)=CC3=C2N1C=C(C(O)=O)C3=O)C1(N)CC1 |r,c:7,9,t:4,14|",10.0,COMPOUND,HUVEC,pazufloxacin,topoisomerase inhibitor
compound-003,24,E46,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-003,7,V34,,celecoxib,"CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F |c:3,5,10,16,18,t:1,8,14|",10.0,COMPOUND,HUVEC,celecoxib,cyclooxygenase inhibitor
compound-004,7,U20,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-001,46,Y45,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-003,2,C06,,metronidazole,"CC1=NC=C(N1CCO)[N+]([O-])=O |c:3,t:1|",10.0,COMPOUND,HUVEC,metronidazole,DNA inhibitor
compound-002,15,P31,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-001,2,AD34,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-001,47,C44,,salmeterol,"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1 |c:2,5,7,27,29,t:25|",10.0,COMPOUND,HUVEC,salmeterol,adrenergic receptor agonist
compound-004,20,R15,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-004,24,M42,,candesartan,"CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)C(=CC=C2)C(O)=O |c:5,12,14,19,21,27,30,32,t:3,10,17,24|",10.0,COMPOUND,HUVEC,candesartan,angiotensin receptor antagonist
compound-003,15,F29,,cinoxacin,"CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12 |t:3,10,12,18|",10.0,COMPOUND,HUVEC,cinoxacin,topoisomerase inhibitor
compound-001,38,F11,,salmeterol,"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1 |c:2,5,7,27,29,t:25|",2.5,COMPOUND,HUVEC,salmeterol,adrenergic receptor agonist
compound-001,43,L41,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-004,12,AC08,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,19,H38,,aspirin,"CC(=O)OC1=C(C=CC=C1)C(O)=O |c:6,8,t:4|",2.5,COMPOUND,HUVEC,aspirin,cyclooxygenase inhibitor
compound-001,39,K29,,valdecoxib,"CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O |c:3,9,11,16,18,t:1,7,14|",10.0,COMPOUND,HUVEC,valdecoxib,cyclooxygenase inhibitor
compound-003,27,M23,,fluorometholone,"C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12 |a:1,7,12,15,17,r,c:23,t:27|",10.0,COMPOUND,HUVEC,fluorometholone,glucocorticoid receptor agonist
compound-001,33,P10,,phentolamine,"CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1 |c:3,5,19,21,t:1,10,16|",10.0,COMPOUND,HUVEC,phentolamine,adrenergic receptor antagonist
compound-001,15,S23,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,21,AC15,,clofoctol,"CC(C)(C)CC(C)(C)C1=CC(CC2=C(Cl)C=C(Cl)C=C2)=C(O)C=C1 |c:12,18,23,t:8,15,20|",10.0,COMPOUND,HUVEC,clofoctol,protein synthesis inhibitor
compound-003,26,K06,,nafronyl,"CCN(CC)CCOC(=O)C(CC1CCCO1)CC1=CC=CC2=CC=CC=C12 |c:21,25,t:19,23,27|",10.0,COMPOUND,HUVEC,naftidrofuryl,adrenergic receptor antagonist
compound-003,10,C46,,clonidine,"ClC1=CC=CC(Cl)=C1NC1=NCCN1 |c:3,6,t:1,10|",2.5,COMPOUND,HUVEC,clonidine,adrenergic receptor agonist
compound-003,37,O39,,balsalazide,"OC(=O)CCNC(=O)C1=CC=C(C=C1)N=NC1=CC(C(O)=O)=C(O)C=C1 |c:10,12,25,t:8,17,22|",10.0,COMPOUND,HUVEC,balsalazide,cyclooxygenase inhibitor
compound-001,46,AD38,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-003,4,S23,,afatinib,"CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1 |a:12,r,c:9,20,31,35,t:18,22,25,28|",10.0,COMPOUND,HUVEC,afatinib,EGFR inhibitor
compound-002,14,K46,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-003,6,X11,,sb202190,"OC1=CC=C(C=C1)C1=NC(=C(N1)C1=CC=NC=C1)C1=CC=C(F)C=C1 |c:3,5,10,16,18,26,t:1,8,14,21,23|",10.0,COMPOUND,HUVEC,SB-202190,p38 MAPK inhibitor
compound-003,23,U13,,bezafibrate,"CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O |c:18,21,t:4,6,13,15|",10.0,COMPOUND,HUVEC,bezafibrate,PPAR receptor agonist
compound-003,5,B39,,allopurinol,"O=C1N=CN=C2NNC=C12 |c:2,t:4,8|",2.5,COMPOUND,HUVEC,allopurinol,xanthine oxidase inhibitor
compound-003,4,AB47,,clonidine,"ClC1=CC=CC(Cl)=C1NC1=NCCN1 |c:3,6,t:1,10|",2.5,COMPOUND,HUVEC,clonidine,adrenergic receptor agonist
compound-004,22,H33,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,7,AE37,,gefitinib,"COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC=C(F)C(Cl)=C3)=NC=NC2=C1 |c:2,25,27,29,32,t:15,19,21|",10.0,COMPOUND,HUVEC,gefitinib,EGFR inhibitor
compound-004,7,G02,,scio 469,"C[C@H]1CN([C@H](C)CN1CC1=CC=C(F)C=C1)C(=O)C1=C(Cl)C=C2N(C)C=C(C(=O)C(=O)N(C)C)C2=C1 |c:15,20,37,t:10,12,23,27|",2.5,COMPOUND,HUVEC,talmapimod,p38 MAPK inhibitor
compound-004,1,M14,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-003,5,N31,,albendazole,"CCCSC1=CC=C2N=C(NC(=O)OC)NC2=C1 |c:17,t:4,6,8|",2.5,COMPOUND,HUVEC,albendazole,tubulin polymerization inhibitor
compound-001,44,V37,,salmeterol,"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1 |c:2,5,7,27,29,t:25|",10.0,COMPOUND,HUVEC,salmeterol,adrenergic receptor agonist
compound-003,30,K31,,prednisone,"C[C@]12CC(=O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO |a:1,15,20,r,c:13,t:9|",2.5,COMPOUND,HUVEC,prednisone,glucocorticoid receptor agonist
compound-001,25,K26,,phenylephrine,"[H][C@](O)(CNC)C1=CC(O)=CC=C1 |c:9,11,t:6|",2.5,COMPOUND,HUVEC,phenylephrine,adrenergic receptor agonist
compound-003,4,AE18,,fenbendazole,"COC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2 |c:7,16,18,21,t:5,11,14|",10.0,COMPOUND,HUVEC,fenbendazole,tubulin polymerization inhibitor
compound-004,47,D47,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,11,S11,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-002,11,P39,,prazosin,"COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1 |c:2,9,11,14,28,t:6,26|",2.5,COMPOUND,HUVEC,prazosin,adrenergic receptor antagonist
compound-004,22,AE35,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-003,8,G11,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-003,19,Z47,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-003,34,C44,,fluocinonide,"CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C |a:7,13,15,16,18,26,28,30,33,r,c:25,t:21|",2.5,COMPOUND,HUVEC,fluocinonide,glucocorticoid receptor agonist
compound-003,12,G39,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-004,24,X43,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-003,2,AC39,,clozapine,"CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2 |c:10,13,16,18,21,24,t:8|",2.5,COMPOUND,HUVEC,clozapine,dopamine receptor antagonist|serotonin receptor antagonist
compound-003,29,H34,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-001,37,U16,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-001,45,V41,,valdecoxib,"CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O |c:3,9,11,16,18,t:1,7,14|",10.0,COMPOUND,HUVEC,valdecoxib,cyclooxygenase inhibitor
compound-003,48,R18,,tedizolid,"CN1N=NC(=N1)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1C[C@H](CO)OC1=O |a:21,r,c:2,4,9,11,14,17,19,t:7|",10.0,COMPOUND,HUVEC,tedizolid,bacterial 50S ribosomal subunit inhibitor
compound-003,7,AE46,,clonidine,"ClC1=CC=CC(Cl)=C1NC1=NCCN1 |c:3,6,t:1,10|",2.5,COMPOUND,HUVEC,clonidine,adrenergic receptor agonist
compound-003,15,L13,,4-biphenylacetic acid,"OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1 |c:6,8,13,15,t:4,11|",10.0,COMPOUND,HUVEC,felbinac,cyclooxygenase inhibitor
compound-003,6,H15,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,42,X07,,setiptiline,"CN1CCC2=C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1 |c:4,8,11,14,16,19,21|",10.0,COMPOUND,HUVEC,setiptiline,adrenergic receptor antagonist
compound-003,23,B15,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,41,M24,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-003,41,O43,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-003,3,M22,,tizanidine,"ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1 |c:1,13,16,t:4,10|",2.5,COMPOUND,HUVEC,tizanidine,adrenergic receptor agonist
compound-001,31,B18,,dacomitinib,"COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1 |c:2,27,29,31,34,t:17,21,24|",2.5,COMPOUND,HUVEC,dacomitinib,EGFR inhibitor
compound-001,16,F29,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-004,7,AC08,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-004,16,I15,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-004,26,E31,,tamsulosin,"CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC=C(OC)C(=C1)S(N)(=O)=O |c:5,7,23,t:3,17,19|",10.0,COMPOUND,HUVEC,tamsulosin,adrenergic receptor antagonist
compound-004,30,P27,,telmisartan,"CCCC1=NC2=C(C=C(C=C2C)C2=NC3=C(C=CC=C3)N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O |c:7,9,17,19,30,32,37,39,t:3,5,13,15,28,35|",2.5,COMPOUND,HUVEC,telmisartan,angiotensin receptor antagonist
compound-001,14,AB26,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-003,37,I25,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-002,1,Z06,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-003,43,X41,,balsalazide,"OC(=O)CCNC(=O)C1=CC=C(C=C1)N=NC1=CC(C(O)=O)=C(O)C=C1 |c:10,12,25,t:8,17,22|",10.0,COMPOUND,HUVEC,balsalazide,cyclooxygenase inhibitor
compound-001,1,Y07,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-001,38,R18,,macitentan,"CCCNS(=O)(=O)NC1=NC=NC(OCCOC2=NC=C(Br)C=N2)=C1C1=CC=C(Br)C=C1 |c:10,22,24,32,t:8,17,19,27,29|",2.5,COMPOUND,HUVEC,macitentan,endothelin receptor antagonist
compound-004,34,T24,,losartan,"CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1 |c:16,18,23,25,30,t:4,7,14,21,28|",10.0,COMPOUND,HUVEC,losartan,angiotensin receptor antagonist
compound-001,13,I44,,sertindole,"FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=CC(Cl)=CC=C12 |c:3,5,30,t:1,9,27,32|",2.5,COMPOUND,HUVEC,sertindole,dopamine receptor antagonist|serotonin receptor antagonist
compound-003,32,W05,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-004,46,K08,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-003,6,Y22,,cabazitaxel,"[H][C@@]12C[C@@H](OC)[C@@]3(C)C(=O)[C@H](OC)C4=C(C)[C@H](C[C@](O)([C@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1 |c:13,26,28,63,65,t:24,61|",2.5,COMPOUND,HUVEC,cabazitaxel,microtubule inhibitor
compound-004,13,F10,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-001,42,AE15,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-001,41,W46,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-004,44,G33,,indoprofen,"CC(C(O)=O)C1=CC=C(C=C1)N1CC2=CC=CC=C2C1=O |c:7,9,16,18,t:5,14|",2.5,COMPOUND,HUVEC,indoprofen,cyclooxygenase inhibitor|prostanoid receptor antagonist
compound-001,21,Y41,,ethaverine,"CCOC1=CC2=CC=NC(CC3=CC(OCC)=C(OCC)C=C3)=C2C=C1OCC |c:7,21,23,26,t:3,5,11,16|",10.0,COMPOUND,HUVEC,ethaverine,calcium channel blocker
